#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2025-11-19T00:44:25 [V7.5.3]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2025-11-19T00:44:25	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-oc.form=dec&-out.max=unlimited&-out.add=_RAJ,_DEJ&-c.eq=J2000&-c.r=  2&-c.u=arcmin&-c.geom=r&-source=J/MNRAS/505/5978/tablea1&-order=I&-out=Name&-out=OName&-out=RAJ2000&-out=DEJ2000&-out=pmRA&-out=e_pmRA&-out=pmDE&-out=e_pmDE&-out=corr&-out=plx&-out=e_plx&-out=Rscale&-out=Nstar&-out=SimbadName&	  Full request URL (POST)
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=7.5.3	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_75055978
#Name: J/MNRAS/505/5978
#Title: Gaia EDR3 view on Galactic globular clusters (Vasiliev+, 2021)
#INFO	ivoid=ivo://cds.vizier/j/mnras/505/5978	    IVOID of underlying data collection
#INFO	creator=Vasiliev E.	    First author or institution
#INFO	cites=bibcode:2021MNRAS.505.5978V	    Article or Data origin sources
#INFO	original_date=2021	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/MNRAS/505/5978	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.75055978	    Dataset identifier that can be used for citation
#INFO	publication_date=2024-08-21	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Table	J_MNRAS_505_5978_tablea1:
#Name: J/MNRAS/505/5978/tablea1
#Title: The catalogue of cluster proper motions
#Column	_RAJ2000	(F9.5)	Right ascension (FK5, Equinox=J2000.0) at Epoch=J2000. (computed by VizieR, not part of the original data. The format may include more digits than the original data because of internal accuracy requirements in VizieR and across other CDS services)	[ucd=pos.eq.ra]
#Column	_DEJ2000	(F9.5)	Declination (FK5, Equinox=J2000.0) at Epoch=J2000. (computed by VizieR, not part of the original data. The format may include more digits than the original data because of internal accuracy requirements in VizieR and across other CDS services)	[ucd=pos.eq.dec]
#Column	Name	(a12)	Common name, NGC identifier, etc.	[ucd=meta.id;meta.main]
#Column	OName	(a10)	Other name	[ucd=meta.id]
#Column	RAJ2000	(F7.3)	Right Ascension (J2000)	[ucd=pos.eq.ra;meta.main]
#Column	DEJ2000	(F7.3)	Declination (J2000)	[ucd=pos.eq.dec;meta.main]
#Column	pmRA	(F7.3)	Proper motion in right ascension, pmRA*cosDE	[ucd=pos.pm;pos.eq.ra]
#Column	e_pmRA	(F7.3)	Uncertainty (including systematic) in pmRA	[ucd=stat.error;pos.pm;pos.eq.ra]
#Column	pmDE	(F7.3)	Proper motion in declination	[ucd=pos.pm;pos.eq.dec]
#Column	e_pmDE	(F7.3)	Uncertainty (including systematic) in pmDE	[ucd=stat.error;pos.pm;pos.eq.dec]
#Column	corr	(F7.2)	Correlation coefficient between uncertainties	[ucd=stat.fit.param]
#Column	plx	(F7.3)	Parallax	[ucd=pos.parallax.trig]
#Column	e_plx	(F7.3)	Uncertainty (including systematic) in plx	[ucd=stat.error;pos.parallax]
#Column	Rscale	(F7.2)	Scale radius of Gaia-detected cluster members	[ucd=phys.angSize]
#Column	Nstar	(I5)	Number of Gaia-detected cluster member stars	[ucd=meta.number]
#Column	SimbadName	(a26)	Simbad column added by the CDS	[ucd=meta.id]
_RAJ2000;_DEJ2000;Name;OName;RAJ2000;DEJ2000;pmRA;e_pmRA;pmDE;e_pmDE;corr;plx;e_plx;Rscale;Nstar;SimbadName
271.20700;-07.58600;NGC 6539    ;          ;271.207;-07.586; -6.896;  0.026; -3.537;  0.026;   0.01;  0.131;  0.011;   1.77;  392;NGC 6539
271.53600;-27.76500;NGC 6540    ;Djorg 3   ;271.536;-27.765; -3.702;  0.032; -2.791;  0.032;  -0.02;  0.180;  0.017;   0.65;   17;NGC 6540
271.83600;-24.99700;NGC 6544    ;          ;271.836;-24.997; -2.304;  0.031;-18.604;  0.030;   0.01;  0.399;  0.011;   4.62;  322;NGC 6544
272.01000;-43.71500;NGC 6541    ;          ;272.010;-43.715;  0.287;  0.025; -8.847;  0.025;   0.00;  0.145;  0.011;   3.63; 2555;NGC 6541
272.27500;-46.42300;ESO 280-06  ;          ;272.275;-46.423; -0.688;  0.039; -2.777;  0.033;   0.09;  0.041;  0.026;   0.47;   45;ESO 280-06
272.32300;-25.90900;NGC 6553    ;          ;272.323;-25.909;  0.344;  0.030; -0.454;  0.029;   0.01;  0.194;  0.011;   3.47;  210;NGC 6553
272.57300;-31.76400;NGC 6558    ;          ;272.573;-31.764; -1.720;  0.036; -4.144;  0.034;   0.04;  0.149;  0.018;   0.94;   56;NGC 6558
272.68400;-07.20800;Pal 7       ;IC 1276   ;272.684;-07.208; -2.553;  0.026; -4.568;  0.026;   0.01;  0.210;  0.011;   3.31;  581;Pal 7
273.06600;-22.74200;Terzan 12   ;          ;273.066;-22.742; -6.222;  0.037; -3.052;  0.034;   0.13;  0.187;  0.020;   1.05;  136;Terzan 12
273.41200;-31.82700;NGC 6569    ;          ;273.412;-31.827; -4.125;  0.028; -7.354;  0.028;   0.01;  0.112;  0.012;   1.66;  102;NGC 6569
273.52700;-28.63500;BH 261      ;ESO 456-78;273.527;-28.635;  3.566;  0.043; -3.590;  0.037;   0.10;  0.191;  0.023;   0.74;   21;Cl VDBH 261
274.65700;-52.21600;NGC 6584    ;          ;274.657;-52.216; -0.090;  0.026; -7.202;  0.025;  -0.01;  0.077;  0.011;   1.76;  857;NGC 6584
275.83200;-13.66900;Mercer 5    ;          ;275.832;-13.669; -3.965;  0.114; -7.220;  0.111;   0.31;  0.223;  0.093;   2.02;   40;Mercer 5
275.91900;-30.36100;NGC 6624    ;          ;275.919;-30.361;  0.124;  0.029; -6.936;  0.029;   0.00;  0.130;  0.012;   1.67;  120;NGC 6624
276.13700;-24.87000;NGC 6626    ;M 28      ;276.137;-24.870; -0.278;  0.028; -8.922;  0.028;  -0.01;  0.200;  0.011;   3.58;  321;NGC 6626
277.73400;-25.49700;NGC 6638    ;          ;277.734;-25.497; -2.518;  0.029; -4.076;  0.029;   0.01;  0.115;  0.012;   1.17;  152;NGC 6638
277.84600;-32.34800;NGC 6637    ;M 69      ;277.846;-32.348; -5.034;  0.028; -5.832;  0.028;   0.04;  0.116;  0.012;   1.97;  388;NGC 6637
277.97500;-23.47500;NGC 6642    ;          ;277.975;-23.475; -0.173;  0.030; -3.892;  0.030;   0.00;  0.126;  0.013;   1.05;   60;NGC 6642
278.94000;-32.99100;NGC 6652    ;          ;278.940;-32.991; -5.484;  0.027; -4.274;  0.027;   0.01;  0.119;  0.012;   1.33;  319;NGC 6652
279.10000;-23.90500;NGC 6656    ;M 22      ;279.100;-23.905;  9.851;  0.023; -5.617;  0.023;   0.00;  0.306;  0.010;   8.08; 4337;NGC 6656
280.37500;-19.82600;Pal 8       ;          ;280.375;-19.826; -1.987;  0.027; -5.694;  0.027;   0.01;  0.115;  0.012;   1.16;  133;Pal 8
280.80300;-32.29200;NGC 6681    ;M 70      ;280.803;-32.292;  1.431;  0.027; -4.744;  0.026;   0.01;  0.121;  0.012;   2.01;  857;NGC 6681
281.36700;-05.19200;Ryu 879     ;RLGC 2    ;281.367;-05.192; -2.396;  0.077; -1.794;  0.069;   0.39;  0.084;  0.074;   0.32;   34;Ryu 879
283.26800;-08.70600;NGC 6712    ;          ;283.268;-08.706;  3.363;  0.027; -4.436;  0.027;   0.02;  0.146;  0.011;   2.00;  291;NGC 6712
283.76400;-30.48000;NGC 6715    ;M 54      ;283.764;-30.480; -2.679;  0.025; -1.387;  0.025;   0.00;  0.053;  0.011;   3.36; 1122;NGC 6715
283.77500;-22.70100;NGC 6717    ;Pal 9     ;283.775;-22.701; -3.125;  0.027; -5.008;  0.027;   0.03;  0.117;  0.012;   1.21;  284;NGC 6717
284.88800;-36.63200;NGC 6723    ;          ;284.888;-36.632;  1.028;  0.025; -2.418;  0.025;   0.00;  0.132;  0.011;   2.93; 2330;NGC 6723
286.31400;+01.90100;NGC 6749    ;          ;286.314;+01.901; -2.829;  0.028; -6.006;  0.027;   0.01;  0.138;  0.012;   2.15;  259;NGC 6749
287.71700;-59.98500;NGC 6752    ;          ;287.717;-59.985; -3.161;  0.022; -4.027;  0.022;  -0.01;  0.254;  0.010;   6.08;16348;NGC 6752
287.80000;+01.03000;NGC 6760    ;          ;287.800;+01.030; -1.107;  0.026; -3.615;  0.026;   0.02;  0.132;  0.011;   2.30;  324;NGC 6760
289.14800;+30.18300;NGC 6779    ;M 56      ;289.148;+30.183; -2.018;  0.025;  1.618;  0.025;   0.01;  0.091;  0.011;   2.03; 1567;NGC 6779
289.43300;-34.65800;Terzan 7    ;          ;289.433;-34.658; -3.002;  0.029; -1.651;  0.029;   0.05;  0.050;  0.015;   0.83;  116;Terzan 7
289.50900;+18.57200;Pal 10      ;          ;289.509;+18.572; -4.322;  0.029; -7.173;  0.029;   0.02;  0.112;  0.014;   1.49;  117;Pal 10
292.18400;-30.35600;Arp 2       ;          ;292.184;-30.356; -2.331;  0.031; -1.475;  0.029;   0.05;  0.026;  0.021;   1.66;  156;Arp 2
294.99900;-30.96500;NGC 6809    ;M 55      ;294.999;-30.965; -3.432;  0.024; -9.311;  0.024;   0.01;  0.209;  0.010;   4.70; 7483;NGC 6809
295.43500;-33.99900;Terzan 8    ;          ;295.435;-33.999; -2.496;  0.027; -1.581;  0.026;  -0.02;  0.050;  0.013;   1.99;  354;Terzan 8
296.31000;-08.00700;Pal 11      ;          ;296.310;-08.007; -1.766;  0.030; -4.971;  0.028;   0.04;  0.109;  0.017;   1.18;  172;Pal 11
298.44400;+18.77900;NGC 6838    ;M 71      ;298.444;+18.779; -3.416;  0.025; -2.656;  0.024;   0.00;  0.251;  0.011;   3.22; 3021;NGC 6838
301.52000;-21.92100;NGC 6864    ;M 75      ;301.520;-21.921; -0.598;  0.026; -2.810;  0.026;   0.02;  0.069;  0.012;   1.31;  367;NGC 6864
308.54700;+07.40400;NGC 6934    ;          ;308.547;+07.404; -2.655;  0.026; -4.689;  0.026;   0.01;  0.078;  0.012;   1.58;  745;NGC 6934
313.36500;-12.53700;NGC 6981    ;M 72      ;313.365;-12.537; -1.274;  0.026; -3.361;  0.026;   0.00;  0.084;  0.012;   1.34;  765;NGC 6981
315.37200;+16.18700;NGC 7006    ;          ;315.372;+16.187; -0.128;  0.027; -0.633;  0.027;   0.00;  0.035;  0.015;   0.61;  174;NGC 7006
316.72900;+14.98400;Laevens 3   ;          ;316.729;+14.984;  0.172;  0.101; -0.666;  0.080;  -0.02;  0.126;  0.089;   0.52;   21;Laevens 3
320.37900;+19.11700;Segue 3     ;          ;320.379;+19.117; -0.981;  0.121; -1.667;  0.081;  -0.31; -0.005;  0.117;   0.49;   21;Segue 3
322.49300;+12.16700;NGC 7078    ;M 15      ;322.493;+12.167; -0.659;  0.024; -3.803;  0.024;   0.01;  0.097;  0.010;   4.10; 4699;NGC 7078
323.36300;-00.82300;NGC 7089    ;M 2       ;323.363;-00.823;  3.435;  0.025; -2.159;  0.024;   0.01;  0.082;  0.011;   3.52; 3091;NGC 7089
325.09200;-23.18000;NGC 7099    ;M 30      ;325.092;-23.180; -0.737;  0.025; -7.299;  0.024;   0.01;  0.136;  0.011;   2.77; 2990;NGC 7099
326.66200;-21.25300;Pal 12      ;          ;326.662;-21.253; -3.220;  0.029; -3.333;  0.028;   0.08;  0.050;  0.018;   0.95;  185;Pal 12
346.68500;+12.77200;Pal 13      ;          ;346.685;+12.772;  1.748;  0.049;  0.104;  0.047;  -0.02; -0.037;  0.034;   0.66;   72;Pal 13
347.11100;-15.61100;NGC 7492    ;          ;347.111;-15.611;  0.756;  0.028; -2.320;  0.028;   0.03;  0.073;  0.014;   1.13;  190;NGC 7492
